event_id,user_id,event_date,content_type,event_type
1,1001,2025-07-04,短视频,点击
2,711,2025-09-23,短视频,曝光
3,1868,2025-07-21,短视频,分享
4,893,2025-09-28,直播,曝光
5,832,2025-09-03,短视频,曝光
6,1445,2025-08-18,短视频,曝光
7,523,2025-08-28,短视频,分享
8,861,2025-08-21,短视频,曝光
9,1413,2025-08-04,短视频,曝光
10,645,2025-09-24,短视频,曝光
11,859,2025-07-06,图文,点击
12,31,2025-09-07,短视频,曝光
13,1589,2025-08-26,直播,点击
14,1722,2025-07-15,直播,点击
15,1337,2025-08-31,图文,曝光
16,1054,2025-09-26,短视频,曝光
17,1787,2025-07-27,短视频,点击
18,1703,2025-08-22,短视频,曝光
19,938,2025-08-04,直播,分享
20,1236,2025-07-02,短视频,曝光
21,1878,2025-07-06,短视频,曝光
22,402,2025-07-19,图文,曝光
23,1557,2025-08-28,短视频,曝光
24,727,2025-09-12,短视频,曝光
25,186,2025-07-08,图文,点击
26,835,2025-07-12,直播,曝光
27,1037,2025-09-18,图文,曝光
28,1480,2025-09-17,短视频,曝光
29,304,2025-08-18,短视频,点击
30,1097,2025-09-11,短视频,点击
31,1323,2025-07-20,直播,曝光
32,1274,2025-07-04,图文,曝光
33,1665,2025-09-22,图文,曝光
34,1507,2025-07-31,直播,曝光
35,931,2025-08-02,直播,曝光
36,548,2025-08-16,短视频,曝光
37,1762,2025-08-25,短视频,曝光
38,1764,2025-07-07,短视频,曝光
39,260,2025-08-23,直播,曝光
40,907,2025-08-23,图文,曝光
41,1504,2025-09-07,直播,点击
42,1323,2025-09-29,短视频,曝光
43,1750,2025-09-04,短视频,曝光
44,437,2025-08-25,短视频,曝光
45,1883,2025-09-20,短视频,曝光
46,467,2025-08-15,图文,点击
47,192,2025-07-05,直播,点击
48,1470,2025-09-18,短视频,曝光
49,1856,2025-09-28,短视频,曝光
50,701,2025-09-27,短视频,分享
51,320,2025-09-23,短视频,曝光
52,1752,2025-09-21,短视频,曝光
53,191,2025-09-02,短视频,曝光
54,1330,2025-07-04,短视频,点击
55,254,2025-09-07,短视频,分享
56,1331,2025-07-10,短视频,曝光
57,228,2025-07-14,短视频,曝光
58,761,2025-08-26,短视频,点击
59,930,2025-09-23,直播,加购
60,1806,2025-07-21,直播,曝光
61,1423,2025-07-16,短视频,曝光
62,1890,2025-08-17,图文,曝光
63,1080,2025-08-02,直播,曝光
64,516,2025-09-16,直播,曝光
65,850,2025-07-18,短视频,曝光
66,1030,2025-09-25,图文,曝光
67,1128,2025-07-25,直播,分享
68,1814,2025-07-31,直播,曝光
69,1795,2025-08-31,直播,曝光
70,203,2025-09-17,图文,曝光
71,1589,2025-08-14,直播,曝光
72,596,2025-08-16,图文,点击
73,1176,2025-08-29,短视频,加购
74,1909,2025-08-30,直播,曝光
75,1765,2025-09-11,直播,加购
76,970,2025-07-12,短视频,加购
77,92,2025-09-26,短视频,点击
78,1904,2025-07-06,图文,加购
79,1815,2025-07-22,短视频,曝光
80,761,2025-09-10,直播,曝光
81,275,2025-07-26,短视频,曝光
82,1055,2025-08-25,直播,曝光
83,1604,2025-07-15,图文,曝光
84,909,2025-09-14,图文,曝光
85,43,2025-07-28,直播,曝光
86,915,2025-07-11,短视频,曝光
87,1030,2025-07-11,短视频,曝光
88,1836,2025-07-16,短视频,曝光
89,1616,2025-09-06,短视频,分享
90,1390,2025-07-06,短视频,曝光
91,810,2025-08-24,短视频,曝光
92,1892,2025-08-29,短视频,曝光
93,464,2025-07-31,短视频,分享
94,660,2025-08-26,直播,曝光
95,1693,2025-07-27,图文,曝光
96,1988,2025-08-09,短视频,曝光
97,1630,2025-07-03,短视频,曝光
98,1416,2025-07-13,短视频,曝光
99,1876,2025-07-10,短视频,曝光
100,263,2025-07-03,直播,分享
101,1339,2025-07-31,直播,曝光
102,826,2025-07-24,直播,曝光
103,1197,2025-07-24,直播,曝光
104,498,2025-07-01,短视频,曝光
105,978,2025-09-11,图文,曝光
106,471,2025-09-26,图文,曝光
107,1287,2025-09-06,直播,点击
108,1860,2025-07-16,图文,曝光
109,118,2025-09-10,图文,点击
110,1920,2025-07-25,短视频,点击
111,1319,2025-07-28,图文,曝光
112,29,2025-09-12,直播,分享
113,1159,2025-07-20,短视频,曝光
114,277,2025-09-30,短视频,曝光
115,1606,2025-09-17,直播,曝光
116,556,2025-08-27,短视频,曝光
117,115,2025-08-16,直播,曝光
118,1696,2025-07-24,短视频,分享
119,1074,2025-08-30,短视频,加购
120,1223,2025-08-11,短视频,曝光
121,1664,2025-08-29,图文,曝光
122,1131,2025-07-06,图文,加购
123,1593,2025-08-04,图文,曝光
124,1197,2025-07-11,直播,点击
125,56,2025-08-08,图文,曝光
126,1902,2025-09-04,短视频,分享
127,1919,2025-07-11,直播,曝光
128,552,2025-09-15,短视频,曝光
129,1302,2025-09-15,短视频,曝光
130,247,2025-07-25,直播,曝光
131,570,2025-07-18,短视频,分享
132,1216,2025-09-06,图文,曝光
133,696,2025-09-09,图文,曝光
134,1938,2025-08-28,短视频,点击
135,157,2025-07-14,短视频,加购
136,1421,2025-08-16,直播,曝光
137,1226,2025-07-24,图文,点击
138,1785,2025-07-27,直播,曝光
139,1619,2025-08-23,直播,曝光
140,1793,2025-09-29,直播,曝光
141,1588,2025-07-19,图文,曝光
142,439,2025-07-23,短视频,点击
143,850,2025-07-23,图文,曝光
144,1372,2025-07-20,直播,点击
145,1999,2025-09-25,直播,曝光
146,1725,2025-07-11,短视频,曝光
147,1300,2025-07-18,图文,曝光
148,203,2025-08-30,短视频,曝光
149,842,2025-08-02,直播,加购
150,1303,2025-09-21,短视频,曝光
