user_id,channel,experiment_group,received_coupon,converted,order_value,coupon_cost,net_revenue
1,自然流量,实验组,1,0,0.0,0,0.0
2,短视频投放,对照组,0,0,0.0,0,0.0
3,自然流量,实验组,1,0,0.0,0,0.0
4,自然流量,实验组,1,0,0.0,0,0.0
5,达人推荐,实验组,1,0,0.0,0,0.0
6,短视频投放,对照组,0,0,0.0,0,0.0
7,站内活动,对照组,0,0,0.0,0,0.0
8,自然流量,实验组,1,0,0.0,0,0.0
9,达人推荐,对照组,0,0,0.0,0,0.0
10,短视频投放,实验组,1,0,0.0,0,0.0
11,达人推荐,对照组,0,0,0.0,0,0.0
12,短视频投放,对照组,0,0,0.0,0,0.0
13,短视频投放,对照组,0,0,0.0,0,0.0
14,站内活动,对照组,0,0,0.0,0,0.0
15,自然流量,对照组,0,0,0.0,0,0.0
16,自然流量,对照组,0,0,0.0,0,0.0
17,达人推荐,实验组,1,0,0.0,0,0.0
18,站内活动,实验组,1,0,0.0,0,0.0
19,自然流量,实验组,1,0,0.0,0,0.0
20,短视频投放,实验组,1,0,0.0,0,0.0
21,站内活动,对照组,0,0,0.0,0,0.0
22,达人推荐,实验组,1,0,0.0,0,0.0
23,站内活动,对照组,0,0,0.0,0,0.0
24,短视频投放,实验组,1,0,0.0,0,0.0
25,达人推荐,实验组,1,0,0.0,0,0.0
26,自然流量,实验组,1,1,67.66,10,57.66
27,站内活动,实验组,1,1,35.48,10,25.48
28,短视频投放,对照组,0,0,0.0,0,0.0
29,达人推荐,实验组,1,0,0.0,0,0.0
30,短视频投放,实验组,1,0,0.0,0,0.0
31,短视频投放,实验组,1,0,0.0,0,0.0
32,达人推荐,对照组,0,0,0.0,0,0.0
33,短视频投放,对照组,0,0,0.0,0,0.0
34,站内活动,对照组,0,0,0.0,0,0.0
35,短视频投放,实验组,1,0,0.0,0,0.0
36,达人推荐,对照组,0,0,0.0,0,0.0
37,自然流量,对照组,0,0,0.0,0,0.0
38,短视频投放,实验组,1,0,0.0,0,0.0
39,短视频投放,对照组,0,0,0.0,0,0.0
40,自然流量,实验组,1,0,0.0,0,0.0
41,自然流量,对照组,0,0,0.0,0,0.0
42,达人推荐,实验组,1,0,0.0,0,0.0
43,达人推荐,实验组,1,0,0.0,0,0.0
44,达人推荐,对照组,0,1,85.4,0,85.4
45,自然流量,实验组,1,0,0.0,0,0.0
46,自然流量,实验组,1,0,0.0,0,0.0
47,自然流量,对照组,0,0,0.0,0,0.0
48,达人推荐,实验组,1,0,0.0,0,0.0
49,站内活动,对照组,0,0,0.0,0,0.0
50,自然流量,对照组,0,0,0.0,0,0.0
51,达人推荐,对照组,0,0,0.0,0,0.0
52,自然流量,实验组,1,0,0.0,0,0.0
53,自然流量,实验组,1,0,0.0,0,0.0
54,自然流量,实验组,1,0,0.0,0,0.0
55,自然流量,实验组,1,0,0.0,0,0.0
56,达人推荐,对照组,0,0,0.0,0,0.0
57,站内活动,对照组,0,0,0.0,0,0.0
58,自然流量,实验组,1,1,39.75,10,29.75
59,短视频投放,实验组,1,0,0.0,0,0.0
60,达人推荐,对照组,0,0,0.0,0,0.0
61,站内活动,对照组,0,0,0.0,0,0.0
62,达人推荐,实验组,1,0,0.0,0,0.0
63,自然流量,实验组,1,0,0.0,0,0.0
64,达人推荐,实验组,1,0,0.0,0,0.0
65,自然流量,对照组,0,0,0.0,0,0.0
66,站内活动,对照组,0,0,0.0,0,0.0
67,短视频投放,实验组,1,0,0.0,0,0.0
68,达人推荐,实验组,1,0,0.0,0,0.0
69,自然流量,对照组,0,0,0.0,0,0.0
70,短视频投放,实验组,1,0,0.0,0,0.0
71,站内活动,对照组,0,0,0.0,0,0.0
72,达人推荐,实验组,1,1,85.35,10,75.35
73,短视频投放,对照组,0,1,133.05,0,133.05
74,站内活动,对照组,0,0,0.0,0,0.0
75,站内活动,对照组,0,0,0.0,0,0.0
76,自然流量,对照组,0,0,0.0,0,0.0
77,短视频投放,实验组,1,0,0.0,0,0.0
78,短视频投放,对照组,0,0,0.0,0,0.0
79,达人推荐,实验组,1,0,0.0,0,0.0
80,自然流量,实验组,1,0,0.0,0,0.0
81,自然流量,实验组,1,0,0.0,0,0.0
82,站内活动,对照组,0,0,0.0,0,0.0
83,站内活动,实验组,1,0,0.0,0,0.0
84,站内活动,实验组,1,1,60.9,10,50.9
85,站内活动,实验组,1,0,0.0,0,0.0
86,达人推荐,对照组,0,0,0.0,0,0.0
87,达人推荐,实验组,1,0,0.0,0,0.0
88,达人推荐,对照组,0,0,0.0,0,0.0
89,短视频投放,对照组,0,0,0.0,0,0.0
90,短视频投放,对照组,0,0,0.0,0,0.0
91,自然流量,对照组,0,0,0.0,0,0.0
92,达人推荐,实验组,1,0,0.0,0,0.0
93,自然流量,对照组,0,0,0.0,0,0.0
94,自然流量,对照组,0,0,0.0,0,0.0
95,短视频投放,对照组,0,1,32.64,0,32.64
96,短视频投放,对照组,0,0,0.0,0,0.0
97,自然流量,对照组,0,0,0.0,0,0.0
98,站内活动,对照组,0,0,0.0,0,0.0
99,站内活动,实验组,1,0,0.0,0,0.0
100,自然流量,对照组,0,0,0.0,0,0.0
101,自然流量,对照组,0,0,0.0,0,0.0
102,自然流量,实验组,1,0,0.0,0,0.0
103,达人推荐,对照组,0,1,53.08,0,53.08
104,站内活动,实验组,1,0,0.0,0,0.0
105,自然流量,对照组,0,0,0.0,0,0.0
106,达人推荐,实验组,1,0,0.0,0,0.0
107,自然流量,对照组,0,0,0.0,0,0.0
108,短视频投放,对照组,0,0,0.0,0,0.0
109,站内活动,对照组,0,0,0.0,0,0.0
110,自然流量,实验组,1,0,0.0,0,0.0
111,自然流量,对照组,0,0,0.0,0,0.0
112,短视频投放,实验组,1,0,0.0,0,0.0
113,达人推荐,对照组,0,0,0.0,0,0.0
