order_id,user_id,order_date,category,gmv,discount,is_first_order,net_gmv
1,678,2025-09-23,家居,130.18,20,0,110.18
2,437,2025-07-02,食品,30.48,0,1,30.48
3,1041,2025-09-17,数码,41.71,0,0,41.71
4,1326,2025-09-10,美妆,37.14,5,0,32.14
5,523,2025-09-12,家居,47.01,20,1,27.01
6,1534,2025-07-15,服饰,75.7,10,0,65.7
7,1278,2025-09-20,美妆,47.29,5,0,42.29
8,334,2025-08-25,家居,86.39,20,0,66.39
9,1878,2025-08-06,食品,108.41,5,0,103.41
10,88,2025-09-01,服饰,110.61,0,1,110.61
11,1308,2025-08-01,食品,32.62,20,1,12.62
12,880,2025-07-26,美妆,129.32,5,1,124.32
13,1308,2025-07-27,食品,135.14,20,0,115.14
14,1549,2025-08-22,美妆,141.74,5,0,136.74
15,1375,2025-08-25,美妆,55.32,10,1,45.32
16,1302,2025-07-23,家居,39.9,0,0,39.9
17,1682,2025-07-23,服饰,35.12,5,0,30.12
18,1404,2025-09-26,数码,32.92,0,1,32.92
19,1628,2025-08-17,服饰,60.73,10,1,50.73
20,806,2025-09-18,食品,96.19,0,1,96.19
21,406,2025-07-31,数码,123.79,0,0,123.79
22,470,2025-07-27,家居,46.2,5,0,41.2
23,1225,2025-07-26,美妆,59.07,5,0,54.07
24,1064,2025-08-18,服饰,56.98,10,0,46.98
25,155,2025-09-10,数码,42.55,10,0,32.55
26,409,2025-08-16,家居,90.44,10,0,80.44
27,1936,2025-07-28,食品,73.67,5,0,68.67
28,1453,2025-09-27,服饰,65.24,5,0,60.24
29,1510,2025-08-22,食品,73.48,0,0,73.48
30,394,2025-08-06,美妆,84.65,5,0,79.65
31,129,2025-07-01,食品,84.18,20,0,64.18
32,583,2025-08-21,服饰,38.05,5,0,33.05
33,1714,2025-08-27,美妆,98.79,30,1,68.79
34,1014,2025-09-24,家居,69.44,0,0,69.44
35,1570,2025-07-22,服饰,47.51,10,1,37.51
36,974,2025-07-15,家居,68.64,10,0,58.64
37,981,2025-09-30,食品,72.93,10,0,62.93
38,1202,2025-08-20,食品,109.4,10,0,99.4
39,1918,2025-07-03,家居,33.94,0,0,33.94
40,875,2025-07-10,美妆,125.05,10,0,115.05
41,1192,2025-08-13,家居,61.11,5,0,56.11
42,1839,2025-08-26,美妆,45.68,5,0,40.68
43,745,2025-07-23,美妆,44.92,0,1,44.92
44,1680,2025-08-03,食品,34.79,0,0,34.79
45,1071,2025-09-06,数码,23.16,30,0,1.0
46,1759,2025-09-28,美妆,87.58,0,1,87.58
47,936,2025-08-15,数码,179.38,5,0,174.38
48,1260,2025-08-08,服饰,24.79,0,0,24.79
49,647,2025-08-03,数码,35.78,10,0,25.78
50,1271,2025-07-13,数码,91.23,10,0,81.23
51,653,2025-07-05,食品,58.84,30,0,28.84
52,1219,2025-09-15,数码,95.48,10,1,85.48
53,1578,2025-07-04,数码,57.06,0,0,57.06
54,870,2025-09-14,家居,43.84,0,0,43.84
55,859,2025-07-23,美妆,53.29,0,1,53.29
56,645,2025-09-02,食品,16.28,10,0,6.28
57,1461,2025-09-26,食品,32.17,30,1,2.17
58,1185,2025-09-07,美妆,101.65,0,1,101.65
59,1033,2025-09-06,家居,116.23,5,0,111.23
60,52,2025-07-25,食品,130.76,10,0,120.76
61,221,2025-08-25,食品,76.9,10,0,66.9
62,15,2025-08-29,服饰,17.45,10,0,7.45
63,1701,2025-08-09,食品,42.55,5,0,37.55
64,1704,2025-07-04,数码,125.03,0,0,125.03
65,136,2025-09-22,食品,147.33,5,0,142.33
66,93,2025-07-19,数码,127.67,5,0,122.67
67,1563,2025-09-28,服饰,52.99,10,1,42.99
68,1050,2025-09-24,服饰,29.41,0,0,29.41
69,618,2025-07-02,美妆,59.01,5,0,54.01
70,1230,2025-09-07,美妆,60.83,30,0,30.83
71,473,2025-08-28,家居,142.75,5,0,137.75
72,397,2025-07-22,家居,68.39,0,0,68.39
73,735,2025-09-13,食品,60.9,30,0,30.9
74,1792,2025-07-11,食品,62.83,0,0,62.83
75,1535,2025-07-23,美妆,75.18,20,0,55.18
76,381,2025-09-26,食品,85.16,0,0,85.16
77,1124,2025-09-07,数码,40.51,20,0,20.51
78,1770,2025-07-11,数码,33.73,0,0,33.73
79,1904,2025-07-14,家居,128.23,5,1,123.23
80,1526,2025-07-24,食品,24.47,30,0,1.0
81,258,2025-07-07,美妆,148.53,10,0,138.53
82,482,2025-07-17,服饰,21.1,0,1,21.1
83,438,2025-08-22,数码,43.75,0,0,43.75
84,302,2025-07-01,家居,102.98,0,0,102.98
85,351,2025-07-27,食品,60.35,0,0,60.35
86,633,2025-07-29,家居,29.25,5,0,24.25
87,1112,2025-09-28,美妆,76.29,5,0,71.29
88,796,2025-09-28,服饰,62.61,30,0,32.61
89,842,2025-09-16,数码,53.58,20,1,33.58
90,492,2025-08-01,服饰,42.81,30,0,12.81
91,303,2025-08-18,服饰,59.2,5,0,54.2
92,1998,2025-08-16,数码,43.81,5,1,38.81
93,1198,2025-09-18,食品,230.21,10,0,220.21
94,460,2025-09-07,数码,52.88,5,1,47.88
95,1620,2025-09-22,数码,49.13,0,1,49.13
96,1662,2025-08-20,美妆,44.8,20,1,24.8
97,1934,2025-09-23,数码,160.34,10,0,150.34
98,319,2025-09-07,食品,24.5,0,0,24.5
99,1280,2025-09-06,食品,73.53,5,1,68.53
100,1961,2025-08-30,数码,52.9,0,0,52.9
101,1614,2025-07-31,美妆,27.58,10,0,17.58
102,452,2025-08-25,食品,38.46,5,0,33.46
103,1787,2025-08-02,食品,71.83,20,0,51.83
104,844,2025-08-29,服饰,37.51,5,1,32.51
105,978,2025-07-24,美妆,69.6,5,1,64.6
106,1118,2025-09-12,服饰,156.18,10,0,146.18
107,1543,2025-08-22,服饰,66.28,30,0,36.28
